informal work in eng,SECTOR,SUBSECTOR
Quality Control Officer,Manufacturing,Another unmentioned factory works
Quality Assurance Analyst,ICT and digital work,Software Design Development and Implementation Works
Quality Assurance Chemist,Manufacturing,Chemical Manufacturing
Quality Assurance Supervisor,Manufacturing,Another unmentioned factory works
Quality Assurance Technician,Manufacturing,Another unmentioned factory works
Quality Controller,Manufacturing,Another unmentioned factory works
Quality Executive,Manufacturing,Another unmentioned factory works
Quality Improvement Officer,Service,Quality Management Consulting Service
Quality Management Assessor,Service,Quality Management Consulting Service
Quality Management Supervisor,Service,Quality Management Consulting Service
Quality Management Team Leader,Service,Quality Management Consulting Service
Quality Advisor,Service,Quality Management Consulting Service
Quality Technician,Manufacturing,Another unmentioned factory works
QHSE Officer,Service,Occupational Safety and Health Care Consulting Service
Quantity Engineer,Construction,Building Construction Contractor
Quarantine Officer,Service,Other services
Wildlife Biologist,agriculture,Wildlife breeding
Research and Development Analyst,Service,Research and experimental development activities in agriculture and animal husbandry
Research and Development Specialist,Service,Research and experimental development activities in agriculture and animal husbandry
Nuclear Regulatory Inspector,Service,Inspection
Nuclear Licensing Specialist,Service,Other services
Nuclear Regulatory Specialist,Service,Other services
Nuclear Safety Inspector,Service,Inspection
Nuclear Security Officer,Service,Security Service
Radiation Protection Officer,Service,Occupational Safety and Health Care Consulting Service
Radiation Equipment Technician,Service,Other services
Radiation Therapist,Health,Health
Radiator Technician,Service,Motor vehicle repair work
Radio Announcer,Service,Commercial Broadcast Service
Radio Communications Instructor,Education,other
Radio Frequency Engineer,ICT and digital work,Computer network design deployment and implementation tasks
Radio Operator,Service,Commercial Broadcast Service
Radio Reporter,Service,Commercial Broadcast Service
Radio Producer,Service,Commercial Broadcast Service
Radio Station Manager,Service,Commercial Broadcast Service
Radio Technician,Service,Commercial Broadcast Service
Telecommunications Equipment Installer,ICT and digital work,Installation and maintenance of telecommunication external cable installation
Radioactive Waste Manager,Service,Other services
Radiation Protection Consultant,Service,Occupational Safety and Health Care Consulting Service
Radiographer,Health,Health
Nuclear Pharmacist,Health,Health
Rail Car Repairer,"Logistics, transportation and communication",Other supportive transportation services
Rail Yard Engineer,"Logistics, transportation and communication",Other supportive transportation services
Railroad Brake Operator,"Logistics, transportation and communication",Other supportive transportation services
Railroad Conductor,"Logistics, transportation and communication",Other supportive transportation services
Rail-Track Laying Equipment Operator,Construction,Road Contractor
Railway Regulatory Specialist,Economic Infrastructure,Railway
Range Manager,agriculture,Agriculture
Park Ranger,Service,"Conservation of plants, animals and nature attractions"
Rapper,Tourism and art,Music Band
React Developer,ICT and digital work,Software Design Development and Implementation Works
Real Estate Advisor,Service,Estimating the cost of housing sales and collecting rental income
Real Estate Marketing Specialist,Service,Advertising
Real Estate Marketing Manager,Service,Advertising
Real Estate Photographer,Service,Photographic works
Real Estate Sales Coordinator,Service,Estimating the cost of housing sales and collecting rental income
Real Estate Sales Consultant,Service,Estimating the cost of housing sales and collecting rental income
Real Estate Sales Associate,Service,Estimating the cost of housing sales and collecting rental income
Real Estate Sales Manager,Service,Estimating the cost of housing sales and collecting rental income
Real Estate Sales Representative,Service,Estimating the cost of housing sales and collecting rental income
Real Estate Sales Supervisor,Service,Estimating the cost of housing sales and collecting rental income
Real Estate Surveyor,Service,Estimating the cost of housing sales and collecting rental income
Real Estate Agent,Service,Estimating the cost of housing sales and collecting rental income
Research Presenter,Service,Other services
Order Clerk,Business,Wholesale business in specialized stores
Reception Nurse,Health,Health
Dental Receptionist,Health,Health
Reconciliation Accountant,Service,Accounting and auditing Jobs
Reconciliation Officer,Service,Accounting and auditing Jobs
Record Clerk,Service,Other services
Record Officer,Service,Other services
Recording Engineer,Tourism and art,Motion Picture Works
Recording Supervisor,Tourism and art,Motion Picture Works
Records Manager,Service,Other services
Recovery Officer,Service,Other services
Recovery Nurse,Health,Health
Postsecondary Recreation Teacher,Education,other
Recreation Manager,Service,Sports Services
Recreation Supervisor,Service,Sports Services
Recreation Worker,Service,Sports Services
Recreational Therapist,Health,Health
Recreational Vehicle Service Technician,Service,Other unmentioned repair jobs
Recruiter,Service,Employment agencies and recruitment agencies
Recycling Worker,Manufacturing,Converting non-metallic precious scraps and scraps into useful products
Recycling Coordinator,Manufacturing,Converting non-metallic precious scraps and scraps into useful products
Recycling Machine Operator,Manufacturing,Converting non-metallic precious scraps and scraps into useful products
Reference Assistant,Service,Library and Archives Services
Refinery Operator,Manufacturing,Manufacture of pesticides and other agricultural chemicals
Reforms Advisor,Service,Other services
Refractory Materials Repairer,Manufacturing,Manufacture of clay and ceramic products for structural use
Refrigeration and Air Conditioning Technician,Service,Equipment and machine installation and maintenance service
Refuse and Recyclable Material Collector,Service,Sewage and waste disposal; Health care and similar jobs
Regional Sales Manager,Business,Wholesale business in specialized stores
Administrative and Procurement Officer,Service,Finance and Administration Services
Regional Advisor,Service,Other services
Capacity Building Advisor,Service,Other services
Case Identification and Prevention Advisor,Health,Health
Child Protection Project Manager,Service,Social work services
Child Safeguarding Advisor,Service,Social work services
Vaccine Delivery Support Specialist,Health,Health
Customer Experience Lead,Service,Other services
Program Operations Director,Service,Other services
